file,score,used_by,width,height,sharpness,contrast,brightness,fill,bytes_per_px,problems,products
bournvita-biscuit-10.jpg,0.5,1,985,265,1385.4,49.1,125.8,0.926,0.2918,awkward shape (3.7:1),Bournvita Biscuit-10
brit-nc-digestive10rs.jpg,0.5,1,1000,340,4266.8,62.9,178.0,0.778,0.2678,awkward shape (2.9:1),Brit Nc Digestive10Rs
cavins-milkshake.jpg,0.5,1,399,1000,1630.4,55.1,151.1,0.957,0.3118,awkward shape (2.5:1),Cavins Milkshake
chings-chilli-vinegar.jpg,0.5,1,309,1000,1022.8,62.6,108.1,0.871,0.2074,awkward shape (3.2:1),Chings Chilli Vinegar
chings-red-chilli-sauce-200g.jpg,0.5,1,398,1000,1321.9,57.4,97.5,0.795,0.1912,awkward shape (2.5:1),Chings Red Chilli Sauce 200g
chings-red-chilli-sauce-90g.jpg,0.5,1,398,1000,1321.9,57.4,97.5,0.795,0.1912,awkward shape (2.5:1),Chings Red Chilli Sauce 90G
cothas-coffee-500-g-s.jpg,0.5,1,419,1000,486.5,49.9,111.8,0.725,0.147,awkward shape (2.4:1),Cothas Coffee 500 G (S)
dairy-milk-silk-bubbly46g.jpg,0.5,1,354,866,2562.7,65.9,108.6,0.899,0.1529,awkward shape (2.4:1),Dairy Milk Silk Bubbly46G
dove-men-care-2x16.jpg,0.5,1,394,1000,1177.5,55.4,97.8,0.597,0.1837,awkward shape (2.5:1),Dove Men+care 2x16
exo-bar-10rs.jpg,0.5,1,1000,350,2005.7,67.9,110.9,0.607,0.2333,awkward shape (2.9:1),Exo Bar-10rs
exo-bar-30rs.jpg,0.5,1,1000,350,2005.7,67.9,110.9,0.607,0.2333,awkward shape (2.9:1),Exo Bar-30rs
exo-bar-5rs.jpg,0.5,1,1000,350,2005.7,67.9,110.9,0.607,0.2333,awkward shape (2.9:1),Exo Bar-5rs
gil-sha-gel-sen-195g.jpg,0.5,1,200,744,2581.0,84.2,129.9,0.815,0.2083,awkward shape (3.7:1),Gil Sha Gel Sen 195g
hide-seek-choco-rolls.jpg,0.5,1,1000,290,1025.2,48.3,73.4,0.939,0.2341,awkward shape (3.4:1),Hide & Seek Choco Rolls
him-cl-com-br-fc100g.jpg,0.5,1,1000,200,3612.1,56.7,186.6,0.953,0.2928,awkward shape (5.0:1),Him Cl Com Br Fc100G
horlicks-500g-box.jpg,0.5,1,415,1000,365.1,52.4,136.7,0.715,0.1613,awkward shape (2.4:1),Horlicks 500g Box
knife-10-20.jpg,0.5,1,246,1000,2467.1,46.1,129.8,0.843,0.3103,awkward shape (4.1:1),Knife-10-20
knife-20-30.jpg,0.5,1,246,1000,2467.1,46.1,129.8,0.843,0.3103,awkward shape (4.1:1),Knife-20-30
knife-40-50.jpg,0.5,1,246,1000,2467.1,46.1,129.8,0.843,0.3103,awkward shape (4.1:1),Knife-40-50
knife.jpg,0.5,1,246,1000,2467.1,46.1,129.8,0.843,0.3103,awkward shape (4.1:1),Knife
lipton-green-tea-hn-lem100g.jpg,0.5,1,312,1000,896.8,56.5,75.7,0.505,0.2208,awkward shape (3.2:1),Lipton Green Tea Hn Lem100g
maaza-10rs.jpg,0.5,1,422,1000,768.9,45.6,146.2,0.891,0.2646,awkward shape (2.4:1),Maaza 10rs
mat-20.jpg,0.5,1,194,657,728.6,58.7,200.1,0.64,0.2137,awkward shape (3.4:1),Mat-20
mat-70-80.jpg,0.5,1,1000,450,485.5,56.9,111.0,0.888,0.2023,awkward shape (2.2:1),Mat-70-80
nail-polish-remover.jpg,0.5,1,275,996,474.4,58.0,195.1,0.781,0.1041,awkward shape (3.6:1),Nail Polish Remover
oreo-strawberry-10.jpg,0.5,1,955,231,2351.0,63.6,107.6,0.946,0.2927,awkward shape (4.1:1),Oreo Strawberry 10
oreo-strawberry-120g.jpg,0.5,1,955,231,2351.0,63.6,107.6,0.946,0.2927,awkward shape (4.1:1),Oreo Strawberry 120g
par-hide-seek-ch.jpg,0.5,1,800,311,1823.1,81.6,136.7,0.754,0.1741,awkward shape (2.6:1),Par Hide&Seek Ch
par-jam-in-10rs.png,0.5,1,1080,349,3762.3,88.0,118.5,0.726,0.6129,awkward shape (3.1:1),Par Jam-In 10Rs
pitambari-rooperi.jpg,0.5,1,351,959,812.5,76.0,143.9,0.833,0.1418,awkward shape (2.7:1),Pitambari Rooperi
polo-10.png,0.5,1,1000,346,1095.7,81.7,188.8,0.428,0.5344,awkward shape (2.9:1),Polo-10
ponds-10rs.jpg,0.5,1,365,1000,223.5,49.4,145.6,0.675,0.1384,awkward shape (2.7:1),Ponds 10rs
ponds-d-f-200-g.jpg,0.5,1,365,1000,223.5,49.4,145.6,0.675,0.1384,awkward shape (2.7:1),Ponds D.F 200 G
ponds-d-f-t-80-g.jpg,0.5,1,365,1000,223.5,49.4,145.6,0.675,0.1384,awkward shape (2.7:1),Ponds D.f.t 80 G
puffed-rice.jpg,0.5,1,1000,223,2500.7,66.0,155.9,0.566,0.2456,awkward shape (4.5:1),Puffed Rice
savlon-200ml.jpg,0.5,1,423,1000,642.4,45.0,136.6,0.781,0.1998,awkward shape (2.4:1),Savlon 200ml
savlon-500ml.jpg,0.5,1,423,1000,642.4,45.0,136.6,0.781,0.1998,awkward shape (2.4:1),Savlon 500ml
tasty-snacks.jpg,0.5,1,1000,444,453.3,63.6,121.9,0.755,0.1944,awkward shape (2.3:1),Tasty Snacks
ujala-250-ml.jpg,0.5,1,397,1000,129.2,58.2,112.1,0.743,0.1512,awkward shape (2.5:1),Ujala 250 Ml
ujala-75-ml.jpg,0.5,1,397,1000,129.2,58.2,112.1,0.743,0.1512,awkward shape (2.5:1),Ujala 75 Ml
vibro-paneer-300ml.jpg,0.5,1,339,1000,587.0,66.2,100.4,0.727,0.1985,awkward shape (2.9:1),Vibro Paneer 300ml
vibro-paneer-500ml.jpg,0.5,1,339,1000,587.0,66.2,100.4,0.727,0.1985,awkward shape (2.9:1),Vibro Paneer 500ml
